91,158,6,8
30,27,84,7
44,122,89,4
64,190,92,7
55,115,4,3
40,100,39,2
71,32,12,10
9,11,1,4
47,57,53,8
66,2,48,8
15,153,43,9
49,20,92,9
78,33,27,3
10,173,77,0
7,83,69,8
24,171,92,2
4,43,100,5
3,133,82,3
72,64,86,8
37,84,16,8
90,115,4,0
50,58,12,10
68,96,70,10
62,71,66,4
12,9,29,5
38,177,21,3
42,28,93,7
48,20,92,7
100,144,34,6
25,99,19,0
55,68,62,0
38,174,41,6
42,83,69,2
94,152,30,4
48,65,36,6
77,100,39,4
30,70,82,3
81,75,74,9
33,94,62,0
84,24,49,10
17,11,1,9
48,63,9,1
97,100,39,6
99,61,4,4
74,194,14,8
19,184,56,4
3,107,6,0
72,187,40,7
13,130,87,4
49,167,94,2
23,64,86,1
42,181,31,3
18,43,100,3
95,146,32,5
35,20,92,8
88,177,21,1
2,66,99,6
79,161,94,5
44,41,62,8
58,31,54,6
82,165,64,0
5,85,93,8
68,98,7,7
91,19,24,6
77,64,86,9
93,37,53,3
61,6,96,6
51,115,4,0
75,34,29,1
35,37,53,4
25,171,92,7
78,195,83,9
32,80,28,0
27,66,99,1
33,58,12,10
96,70,82,6
72,174,41,9
76,89,39,5
63,171,92,1
15,8,38,4
30,192,4,3
29,164,86,5
38,155,37,0
61,155,37,1
35,103,74,5
94,106,34,9
64,102,49,9
98,149,30,2
44,129,20,8
34,107,6,2
92,96,70,8
98,129,20,8
98,53,79,8
30,99,19,0
36,19,24,7
63,130,87,7
70,3,37,10
66,95,16,1
7,58,12,4
14,131,63,1
43,117,29,1
18,171,92,9
52,168,20,0
69,33,27,3
94,169,77,8
25,120,24,9
23,168,20,3
52,51,88,2
97,91,96,2
71,190,92,5
37,187,40,7
9,4,20,7
35,2,48,9
76,117,29,6
58,17,50,4
36,148,26,1
72,181,31,8
13,181,31,0
22,197,47,9
96,198,22,9
61,9,29,0
49,151,96,2
28,41,62,3
81,50,36,10
45,40,38,0
17,13,3,10
32,115,4,8
30,6,96,10
36,162,19,5
66,172,30,2
39,8,38,0
6,193,88,6
12,171,92,1
15,46,57,9
58,15,94,5
81,36,2,8
76,187,40,1
74,39,1,5
73,77,1,7
24,111,23,0
48,160,53,7
100,73,75,7
99,65,36,7
84,89,39,6
85,193,88,7
35,94,62,2
34,75,74,2
58,15,94,8
19,195,83,6
55,3,37,1
83,173,77,6
87,40,38,2
65,62,25,2
66,72,31,2
25,86,98,1
37,90,36,8
100,157,84,10
65,93,94,0
88,157,84,3
21,39,1,2
100,77,1,7
36,165,64,0
84,103,74,4
9,61,4,7
58,47,73,6
99,44,77,7
21,39,1,2
80,108,79,6
8,42,65,2
47,173,77,3
73,53,79,10
65,84,16,8
24,85,93,9
37,19,24,1
3,187,40,9
11,92,69,5
41,95,16,5
80,9,29,4
24,13,3,2
40,136,83,7
48,40,38,2
6,82,77,5
1,146,32,8
25,26,1,0
85,150,31,2
19,143,19,5
38,162,19,10
29,124,23,2
60,112,11,3
44,45,31,10
41,92,69,8
31,113,89,5
97,179,88,0
21,34,29,1
28,53,79,8
67,89,39,7
56,58,12,4
97,200,61,5
61,187,40,5
65,190,92,2
